,0
Mo102,2.1160580124729485e-09
Mo103,1.3395541422435119e-07
Mo104,3.486310844178772e-08
Mo105,1.1339812058557417e-07
Tc90,3.699056593033435e-07
Tc91,5.612480483933611e-07
Tc91m,2.981065626959408e-07
Tc92,9.082615447344526e-07
Tc93,4.1843837266984456e-07
Tc93m,2.127490118864978e-07
Tc94,6.018411632371178e-07
Tc94m,4.4420755056858795e-07
Tc95,1.8066138476727865e-07
Tc95m,1.4037024633347277e-07
Tc96,5.746068755424281e-07
Tc96m,1.0619401798177701e-08
Tc97,5.356810537071968e-09
Tc97m,4.161952740891256e-09
Tc98,2.9913043399929335e-07
Tc99,1.0475197483894402e-13
Tc99m,1.2691423106096187e-08
Tc100,1.7072751762549653e-08
Tc101,5.194643091679615e-08
Tc102,1.8027666533902678e-08
Tc102m,6.359479976140943e-07
Tc103,4.1653798939808054e-08
Tc104,4.7359213811790065e-07
Tc105,1.442881945437415e-07
Tc106,6.389275729644377e-07
Tc107,1.1355096548553997e-07
Tc108,3.702787940521339e-07
Tc111,7.475994029011748e-08
Ru92,4.053793201709842e-07
Ru93,2.2840945901776415e-07
Ru93m,4.5964553913787974e-07
Ru94,1.0477460820743991e-07
Ru95,2.778019072430008e-07
Ru97,3.4930917253451925e-08
Ru103,9.378038429540307e-08
Ru103m,2.9769966784524533e-08
Ru105,1.5351468419859516e-07
Ru107,7.700804356078312e-08
Ru108,4.762890078201391e-09
Ru109,4.217124358281644e-07
Ru110,3.820135406004192e-09
Ru113,9.716445560816986e-08
Rh94,7.767204650288121e-07
Rh94m,8.147982405402088e-07
Rh95,5.975157940893491e-07
Rh95m,2.1440155048319137e-07
Rh96,8.990749693599253e-07
Rh96m,2.89144688744075e-07
Rh97,2.8008415990000147e-07
Rh97m,5.54880713755617e-07
Rh98,3.7050925174496165e-07
Rh98m,4.85941393879495e-07
Rh99,9.805488057343041e-08
Rh99m,1.3096994457983566e-07
Rh100,7.251488261870978e-07
Rh100m,9.176202022587079e-09
Rh101,4.038486954854953e-08
Rh101m,4.9937827450733324e-08
Rh102,4.604444140552644e-07
Rh102m,9.878361029530145e-08
Rh103m,6.882120981325192e-10
Rh104,2.3862368644877488e-09
Rh104m,1.0740280117539499e-08
Rh105,1.1603488261951278e-08
Rh105m,6.214973087137107e-09
Rh106,4.1886725922581005e-08
Rh106m,6.277709702974247e-07
Rh107,4.810385050286929e-08
Rh108,5.918980478742858e-08
Rh108m,6.217631794505689e-07
Rh109,4.5373886942943987e-08
Rh110,5.669333495826532e-07
Rh110m,5.927675988169086e-08
Rh111,5.668487073234802e-08
Rh112,3.4401178176551625e-08
Rh112m,4.8656709854956e-07
Rh114,7.234342498047942e-08
Rh114m,4.582965109253161e-07
Rh116,1.46601775360901e-07
Rh116m,4.4488298970316614e-07
Pd96,3.071657524418648e-07
Pd97,5.15515317787822e-07
Pd98,8.21983216800466e-08
Pd99,2.729380066568175e-07
Pd100,2.03118493145484e-08
Pd101,7.634509057307893e-08
Pd103,6.327290420238342e-09
Pd107m,1.936670000949433e-08
Pd109,1.2523783391721013e-10
Pd109m,1.4073666709547006e-08
Pd111,1.0620453838553637e-08
Pd111m,7.457465866678892e-08
Pd112,2.3315116151447527e-09
Pd113,2.3574115182177527e-08
Pd113m,6.2650512941322735e-09
Pd114,3.2968806334444988e-09
Pd116,1.70519683866985e-08
Pd117m,2.049422546654301e-08
Pd118,6.058355207086481e-08
Ag97,8.546088601315501e-07
Ag98,1.0924631336132177e-06
Ag100,7.475215125353864e-07
Ag100m,6.026304144431988e-07
Ag101,3.183133260564462e-07
Ag101m,1.9427478282844633e-08
Ag102,6.772543161592325e-07
Ag102m,5.186188641254153e-07
Ag103,1.7392077645963197e-07
Ag103m,3.808693414167764e-09
Ag104,6.276855620954075e-07
Ag104m,2.954724810904508e-07
Ag105,9.790761548028383e-08
Ag105m,1.8627564868312266e-10
Ag106,1.3538639554847646e-07
Ag106m,6.275006447314155e-07
Ag107m,3.857927405941364e-09
Ag108,4.350493635540965e-09
Ag108m,3.316987958628514e-07
Ag109m,3.5848486476319648e-09
Ag110,6.604963170134068e-09
Ag110m,6.476988659215339e-07
Ag111,4.085627561671853e-09
Ag111m,2.163114138939546e-09
Ag112,1.6879115564150255e-07
Ag113,1.2800165224549819e-08
Ag113m,3.6710705791857154e-08
Ag114,6.19239691815665e-08
Ag114m,2.687262970786221e-08
Ag115,1.109427187553384e-07
Ag115m,6.657464376856322e-08
Ag116,5.663105925294186e-07
Ag116m,3.6518751014593803e-07
Ag117,2.929692999314662e-07
Ag117m,1.0739842751381063e-07
Ag118,1.6602272884794499e-07
Ag118m,3.722045462437168e-07
Ag119,3.396261306295735e-07
Ag120,1.660065113406487e-07
Ag121,2.766231128831053e-07
Ag122,2.2702571914935266e-07
Ag123,2.0046315169755035e-07
Cd98,5.407373876862786e-07
Cd100,3.5355832250844455e-07
Cd101,5.944929583178016e-07
Cd102,1.73043719769668e-07
Cd103,5.493000096229145e-07
Cd104,5.387605816342333e-08
Cd105,3.166204527507826e-07
Cd107,7.765894097241583e-09
Cd109,6.2757970088293855e-09
Cd111m,3.8726782500119754e-08
Cd113m,1.2205055069168727e-11
Cd115,3.647120737975048e-08
Cd115m,7.90665694449466e-09
Cd117,2.635728299232822e-07
Cd117m,5.492463793718863e-07
Cd119,3.897738537840618e-07
Cd119m,5.774086895088784e-07
Cd121,4.115750367370294e-07
Cd121m,5.856363369547907e-07
Cd123,4.830574739127673e-07
Cd123m,6.414969152992186e-07
Cd124,1.3593101125469436e-08
Cd125,4.963936862496807e-07
Cd125m,6.412969406315102e-07
In102,6.971668015764394e-07
In105,3.964379845631185e-07
In105m,1.3441915990460723e-07
In106,1.8166518156453928e-07
In106m,5.358197296167887e-07
In107,3.560278199763461e-07
In107m,1.3599133936411435e-07
In108,7.391124885682713e-07
In108m,7.305333561543241e-07
In109,1.332172675998206e-07
In109m,1.272959420390869e-07
In109n,5.101467386794057e-07
In110,7.021517268457577e-07
In110m,3.424156445031668e-07
In111,5.453665573437701e-08
In111m,9.112879103835419e-08
In112,5.758157238565948e-08
